hè,ㄏㄜˋ
zhǒng,ㄓㄨㄥˇ
jīn,ㄐㄧㄣ
xiǎng,ㄒㄧㄤˇ
jǔ,ㄐㄩˇ
lǐ,ㄌㄧˇ
sì,ㄙˋ
bìnìkuīyú,ㄅㄧˋㄋㄧˋㄎㄨㄟㄩˊ
dǎng,ㄉㄤˇ
sōu,ㄙㄡ
xiáng,ㄒㄧㄤˊ
xuàn,ㄒㄩㄢˋ
xù,ㄒㄩˋ
liǎo,ㄌㄧㄠˇ
zuò,ㄗㄨㄛˋ
xuán,ㄒㄩㄢˊ
zhuō,ㄓㄨㄛ
qíxīlìqí,ㄑㄧˊㄒㄧㄌㄧˋㄑㄧˊ
hǎn,ㄏㄢˇ
tōu,ㄊㄡ
shūlǜ,ㄕㄨㄌㄩˋ
yōu,ㄧㄡ
miào,ㄇㄧㄠˋ
cì,ㄘˋ
lìn,ㄌㄧㄣˋ
guǎng,ㄍㄨㄤˇ
dòng,ㄉㄨㄥˋ
tǒng,ㄊㄨㄥˇ
liè,ㄌㄧㄝˋ
fèngmáoyīng,ㄈㄥˋㄇㄠˊㄧㄥ
tiǎn,ㄊㄧㄢˇ
huī,ㄏㄨㄟ
shēng,ㄕㄥ
zhúlú,ㄓㄨˊㄌㄨˊ
nièxuětūnzhān,ㄋㄧㄝˋㄒㄩㄝˇㄊㄨㄣㄓㄢ
bǒ,ㄅㄛˇ
méng,ㄇㄥˊ
chǔn,ㄔㄨㄣˇ
zhǎn,ㄓㄢˇ
tǐ,ㄊㄧˇ
hān,ㄏㄢ
yīnwù,ㄧㄣㄨˋ
xì,ㄒㄧˋ
xīn,ㄒㄧㄣ
liáochún,ㄌㄧㄠˊㄔㄨㄣˊ
zhāi,ㄓㄞ
pú,ㄆㄨˊ
suō,ㄙㄨㄛ
qiú,ㄑㄧㄡˊ
dūn,ㄉㄨㄣ
guì,ㄍㄨㄟˋ
piáo,ㄆㄧㄠˊ
bī,ㄅㄧ
huā,ㄏㄨㄚ
cháng,ㄔㄤˊ
zhèn,ㄓㄣˋ
tòng,ㄊㄨㄥˋ
jīng,ㄐㄧㄥ
xú,ㄒㄩˊ
kài,ㄎㄞˋ
niè,ㄋㄧㄝˋ
jié,ㄐㄧㄝˊ
tuóqiàn,ㄊㄨㄛˊㄑㄧㄢˋ
máo,ㄇㄠˊ
kūn,ㄎㄨㄣ
shuò,ㄕㄨㄛˋ
hǒng,ㄏㄨㄥˇ
nuó,ㄋㄨㄛˊ
yuē,ㄩㄝ
dì,ㄉㄧˋ
yánxiù,ㄧㄢˊㄒㄧㄡˋ
gàn,ㄍㄢˋ
méi,ㄇㄟˊ
pì,ㄆㄧˋ
huái,ㄏㄨㄞˊ
yóu,ㄧㄡˊ
niáng,ㄋㄧㄤˊ
bó,ㄅㄛˊ
yā,ㄧㄚ
hāi,ㄏㄞ
yè,ㄧㄝˋ
qiān,ㄑㄧㄢ
chōng,ㄔㄨㄥ
jīnjīn,ㄐㄧㄣㄐㄧㄣ
jìn,ㄐㄧㄣˋ
dòu,ㄉㄡˋ
pù,ㄆㄨˋ
jiá,ㄐㄧㄚˊ
hài,ㄏㄞˋ
fēn,ㄈㄣ
mó,ㄇㄛˊ
jiǔlǐqúniè,ㄐㄧㄡˇㄌㄧˇㄑㄩˊㄋㄧㄝˋ
xùn,ㄒㄩㄣˋ
yì,ㄧˋ
ruǎn,ㄖㄨㄢˇ
chù,ㄔㄨˋ
wǎn,ㄨㄢˇ
gǎo,ㄍㄠˇ
fèi,ㄈㄟˋ
yāomó,ㄧㄠㄇㄛˊ
zì,ㄗˋ
jià,ㄐㄧㄚˋ
wābēi,ㄨㄚㄅㄟ
bà,ㄅㄚˋ
